matchID,matchDate,match,match_location_date,toss,team1,team1_captain,team1_score,team2,team2_captain,team2_score,winner,result,player_of_the_match,team1_logo,team2_logo,team1_full_name,team2_full_name,team1_captain_image,team2_captain_image,player_of_the_match_image
T204306,"May 29, 2025",PBKS Vs RCB,"Qualifier 1 (N), New Chandigarh, May 29, 2025,Indian Premier League","Royal Challengers Bengaluru, elected to field first",PBKS,Shreyas Iyer,101,RCB,Rajat Patidar,"(10/20 ov, T:102) 106/2",RCB,RCB won by 8 wickets (with 60 balls remaining),Suyash Sharma,https://documents.iplt20.com/ipl/PBKS/Logos/Logooutline/PBKSoutline.png,https://documents.iplt20.com/ipl/RCB/Logos/Logooutline/RCBoutline.png,Punjab Kings,Royal Challengers Bengaluru,https://documents.iplt20.com/ipl/IPLHeadshot2025/12.png,https://documents.iplt20.com/ipl/IPLHeadshot2025/597.png,https://documents.iplt20.com/ipl/IPLHeadshot2025/1932.png
T207920,"May 27, 2025",LSG Vs RCB,"70th Match (N), Lucknow, May 27, 2025,Indian Premier League","Royal Challengers Bengaluru, elected to field first",LSG,Rishabh Pant,227/3,RCB,Jitesh Sharma,"(18.4/20 ov, T:228) 230/4",RCB,RCB won by 6 wickets (with 8 balls remaining),Jitesh Sharma,https://documents.iplt20.com/ipl/LSG/Logos/Logooutline/LSGoutline.png,https://documents.iplt20.com/ipl/RCB/Logos/Logooutline/RCBoutline.png,Lucknow Super Giants,Royal Challengers Bengaluru,https://documents.iplt20.com/ipl/IPLHeadshot2025/18.png,https://documents.iplt20.com/ipl/IPLHeadshot2025/1000.png,https://documents.iplt20.com/ipl/IPLHeadshot2025/1000.png
T207014,"May 26, 2025",MI Vs PBKS,"69th Match (N), Jaipur, May 26, 2025,Indian Premier League","Punjab Kings, elected to field first",MI,Hardik Pandya,184/7,PBKS,Shreyas Iyer,"(18.3/20 ov, T:185) 187/3",PBKS,PBKS won by 7 wickets (with 9 balls remaining),Josh Inglis,https://documents.iplt20.com/ipl/MI/Logos/Logooutline/MIoutline.png,https://documents.iplt20.com/ipl/PBKS/Logos/Logooutline/PBKSoutline.png,Mumbai Indians,Punjab Kings,https://documents.iplt20.com/ipl/IPLHeadshot2025/54.png,https://documents.iplt20.com/ipl/IPLHeadshot2025/12.png,https://documents.iplt20.com/ipl/IPLHeadshot2025/647.png
T202020,"May 25, 2025",SRH Vs KKR,"68th Match (N), Delhi, May 25, 2025,Indian Premier League","Sunrisers Hyderabad, elected to bat first",SRH,Pat Cummins,278/3,KKR,Ajinkya Rahane,"(18.4/20 ov, T:279) 168",SRH,SRH won by 110 runs,Heinrich Klaasen,https://documents.iplt20.com/ipl/SRH/Logos/Logooutline/SRHoutline.png,https://documents.iplt20.com/ipl/KKR/Logos/Logooutline/KKRoutline.png,Sunrisers Hyderabad,Kolkata Knight Riders,https://documents.iplt20.com/ipl/IPLHeadshot2025/33.png,https://documents.iplt20.com/ipl/IPLHeadshot2025/44.png,https://documents.iplt20.com/ipl/IPLHeadshot2025/202.png
T206757,"May 25, 2025",CSK Vs GT,"67th Match (D/N), Ahmedabad, May 25, 2025,Indian Premier League","Chennai Super Kings, elected to bat first",CSK,,230/5,GT,Shubman Gill,"(18.3/20 ov, T:231) 147",CSK,CSK won by 83 runs,Dewald Brevis,https://documents.iplt20.com/ipl/CSK/logos/Logooutline/CSKoutline.png,https://documents.iplt20.com/ipl/GT/Logos/Logooutline/GToutline.png,Chennai Super Kings,Gujarat Titans,,https://documents.iplt20.com/ipl/IPLHeadshot2025/62.png,https://documents.iplt20.com/ipl/IPLHeadshot2025/797.png
T204213,"May 24, 2025",PBKS Vs DC,"66th Match (N), Jaipur, May 24, 2025,Indian Premier League","Delhi Capitals, elected to field first",PBKS,Shreyas Iyer,206/8,DC,Faf du Plessis,"(19.3/20 ov, T:207) 208/4",DC,DC won by 6 wickets (with 3 balls remaining),Sameer Rizvi,https://documents.iplt20.com/ipl/PBKS/Logos/Logooutline/PBKSoutline.png,https://documents.iplt20.com/ipl/DC/Logos/LogoOutline/DCoutline.png,Punjab Kings,Delhi Capitals,https://documents.iplt20.com/ipl/IPLHeadshot2025/12.png,https://documents.iplt20.com/ipl/IPLHeadshot2025/94.png,https://documents.iplt20.com/ipl/IPLHeadshot2025/1229.png
T208879,"May 23, 2025",SRH Vs RCB,"65th Match (N), Lucknow, May 23, 2025,Indian Premier League","Royal Challengers Bengaluru, elected to field first",SRH,Pat Cummins,231/6,RCB,Jitesh Sharma,"(19.5/20 ov, T:232) 189",SRH,SRH won by 42 runs,Ishan Kishan,https://documents.iplt20.com/ipl/SRH/Logos/Logooutline/SRHoutline.png,https://documents.iplt20.com/ipl/RCB/Logos/Logooutline/RCBoutline.png,Sunrisers Hyderabad,Royal Challengers Bengaluru,https://documents.iplt20.com/ipl/IPLHeadshot2025/33.png,https://documents.iplt20.com/ipl/IPLHeadshot2025/1000.png,https://documents.iplt20.com/ipl/IPLHeadshot2025/164.png
T203560,"May 22, 2025",LSG Vs GT,"64th Match (N), Ahmedabad, May 22, 2025,Indian Premier League","Gujarat Titans, elected to field first",LSG,Rishabh Pant,235/2,GT,Shubman Gill,"(20 ov, T:236) 202/9",LSG,LSG won by 33 runs,Mitchell Marsh,https://documents.iplt20.com/ipl/LSG/Logos/Logooutline/LSGoutline.png,https://documents.iplt20.com/ipl/GT/Logos/Logooutline/GToutline.png,Lucknow Super Giants,Gujarat Titans,https://documents.iplt20.com/ipl/IPLHeadshot2025/18.png,https://documents.iplt20.com/ipl/IPLHeadshot2025/62.png,https://documents.iplt20.com/ipl/IPLHeadshot2025/40.png
T205979,"May 21, 2025",MI Vs DC,"63rd Match (N), Wankhede, May 21, 2025,Indian Premier League","Delhi Capitals, elected to field first",MI,Hardik Pandya,180/5,DC,Faf du Plessis,"(18.2/20 ov, T:181) 121",MI,MI won by 59 runs,Suryakumar Yadav,https://documents.iplt20.com/ipl/MI/Logos/Logooutline/MIoutline.png,https://documents.iplt20.com/ipl/DC/Logos/LogoOutline/DCoutline.png,Mumbai Indians,Delhi Capitals,https://documents.iplt20.com/ipl/IPLHeadshot2025/54.png,https://documents.iplt20.com/ipl/IPLHeadshot2025/94.png,https://documents.iplt20.com/ipl/IPLHeadshot2025/174.png
T206329,"May 20, 2025",CSK Vs RR,"62nd Match (N), Delhi, May 20, 2025,Indian Premier League","Rajasthan Royals, elected to field first",CSK,MS Dhoni,187/8,RR,Sanju Samson,"(17.1/20 ov, T:188) 188/4",RR,RR won by 6 wickets (with 17 balls remaining),Akash Madhwal,https://documents.iplt20.com/ipl/CSK/logos/Logooutline/CSKoutline.png,https://documents.iplt20.com/ipl/RR/Logos/Logooutline/RRoutline.png,Chennai Super Kings,Rajasthan Royals,https://documents.iplt20.com/ipl/IPLHeadshot2025/57.png,https://documents.iplt20.com/ipl/IPLHeadshot2025/190.png,https://documents.iplt20.com/ipl/IPLHeadshot2025/1045.png
