name,team,link,battingStyle,bowlingStyle,playingRole,image
Heinrich Klaasen,SRH,https://www.espncricinfo.com//cricketers/heinrich-klaasen-436757,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,https://documents.iplt20.com/ipl/IPLHeadshot2025/202.png
Pat Cummins,SRH,https://www.espncricinfo.com//cricketers/pat-cummins-489889,Right hand Bat,Right arm Fast,Bowler,https://documents.iplt20.com/ipl/IPLHeadshot2025/33.png
Abhishek Sharma,SRH,https://www.espncricinfo.com//cricketers/abhishek-sharma-1070183,Left hand Bat,Slow Left arm Orthodox,Batting Allrounder,https://documents.iplt20.com/ipl/IPLHeadshot2025/212.png
Travis Head,SRH,https://www.espncricinfo.com//cricketers/travis-head-530011,Left hand Bat,Right arm Offbreak,Top order Batter,https://documents.iplt20.com/ipl/IPLHeadshot2025/37.png
Ishan Kishan,SRH,https://www.espncricinfo.com//cricketers/ishan-kishan-720471,Left hand Bat,Legbreak,Wicketkeeper Batter,https://documents.iplt20.com/ipl/IPLHeadshot2025/164.png
Mohammed Shami,SRH,https://www.espncricinfo.com//cricketers/mohammed-shami-481896,Right hand Bat,Right arm Fast,Bowler,https://documents.iplt20.com/ipl/IPLHeadshot2025/47.png
Harshal Patel,SRH,https://www.espncricinfo.com//cricketers/harshal-patel-390481,Right hand Bat,Right arm Medium,Bowler,https://documents.iplt20.com/ipl/IPLHeadshot2025/114.png
Nitish Kumar Reddy,SRH,https://www.espncricinfo.com//cricketers/nitish-kumar-reddy-1175496,Right hand Bat,Right arm Medium fast,Batting Allrounder,https://documents.iplt20.com/ipl/IPLHeadshot2025/1944.png
Rahul Chahar,SRH,https://www.espncricinfo.com//cricketers/rahul-chahar-1064812,Right hand Bat,Legbreak Googly,Bowler,https://documents.iplt20.com/ipl/IPLHeadshot2025/171.png
Abhinav Manohar,SRH,https://www.espncricinfo.com//cricketers/abhinav-manohar-778963,Right hand Bat,Legbreak Googly,Batting Allrounder,https://documents.iplt20.com/ipl/IPLHeadshot2025/974.png
Adam Zampa,SRH,https://www.espncricinfo.com//cricketers/adam-zampa-379504,Right hand Bat,Legbreak Googly,Bowler,https://documents.iplt20.com/ipl/IPLHeadshot2025/24.png
Simarjeet Singh,SRH,https://www.espncricinfo.com//cricketers/simarjeet-singh-1159722,Right hand Bat,Right arm Medium fast,Bowler,https://documents.iplt20.com/ipl/IPLHeadshot2025/622.png
Eshan Malinga,SRH,https://www.espncricinfo.com//cricketers/eshan-malinga-1306214,Left hand Bat,Right arm Fast medium,Bowler,https://documents.iplt20.com/ipl/IPLHeadshot2025/3339.png
Jaydev Unadkat,SRH,https://www.espncricinfo.com//cricketers/jaydev-unadkat-390484,Right hand Bat,Left arm Medium,Bowler,https://documents.iplt20.com/ipl/IPLHeadshot2025/180.png
