matchID,match,teamInnings,battingPos,batsmanName,runs,balls,4s,6s,SR,Innings,out/not_out
T204306,PBKS Vs RCB,PBKS,1,Priyansh Arya,7,5,1,0,140.00,1st Innings,out
T204306,PBKS Vs RCB,PBKS,2,Prabhsimran Singh,18,10,2,1,180.00,1st Innings,out
T204306,PBKS Vs RCB,PBKS,3,Josh Inglis,4,7,0,0,57.14,1st Innings,out
T204306,PBKS Vs RCB,PBKS,4,Shreyas Iyer,2,3,0,0,66.66,1st Innings,out
T204306,PBKS Vs RCB,PBKS,5,Nehal Wadhera,8,10,1,0,80.00,1st Innings,out
T204306,PBKS Vs RCB,PBKS,6,Marcus Stoinis,26,17,2,2,152.94,1st Innings,out
T204306,PBKS Vs RCB,PBKS,7,Shashank Singh,3,5,0,0,60.00,1st Innings,out
T204306,PBKS Vs RCB,PBKS,8,Musheer Khan,0,3,0,0,0.00,1st Innings,out
T204306,PBKS Vs RCB,PBKS,9,Azmatullah Omarzai,18,12,1,1,150.00,1st Innings,out
T204306,PBKS Vs RCB,PBKS,10,Harpreet Brar,4,11,0,0,36.36,1st Innings,out
T204306,PBKS Vs RCB,PBKS,11,Kyle Jamieson,0,3,0,0,0.00,1st Innings,not_out
T204306,PBKS Vs RCB,RCB,1,Phil Salt,56,27,6,3,207.40,2nd Innings,not_out
T204306,PBKS Vs RCB,RCB,2,Virat Kohli,12,12,2,0,100.00,2nd Innings,out
T204306,PBKS Vs RCB,RCB,3,Mayank Agarwal,19,13,2,1,146.15,2nd Innings,out
T204306,PBKS Vs RCB,RCB,4,Rajat Patidar,15,8,1,1,187.50,2nd Innings,not_out
T207920,LSG Vs RCB,LSG,1,Mitchell Marsh,67,37,4,5,181.08,1st Innings,out
T207920,LSG Vs RCB,LSG,2,Matthew Breetzke,14,12,1,1,116.66,1st Innings,out
T207920,LSG Vs RCB,LSG,3,Rishabh Pant,118,61,11,8,193.44,1st Innings,not_out
T207920,LSG Vs RCB,LSG,4,Nicholas Pooran,13,10,1,0,130.00,1st Innings,out
T207920,LSG Vs RCB,LSG,5,Abdul Samad,1,1,0,0,100.00,1st Innings,not_out
T207920,LSG Vs RCB,RCB,1,Phil Salt,30,19,6,0,157.89,2nd Innings,out
T207920,LSG Vs RCB,RCB,2,Virat Kohli,54,30,10,0,180.00,2nd Innings,out
T207920,LSG Vs RCB,RCB,3,Rajat Patidar,14,7,1,1,200.00,2nd Innings,out
T207920,LSG Vs RCB,RCB,4,Liam Livingstone,0,1,0,0,0.00,2nd Innings,out
T207920,LSG Vs RCB,RCB,5,Mayank Agarwal,41,23,5,0,178.26,2nd Innings,not_out
T207920,LSG Vs RCB,RCB,6,Jitesh Sharma,85,33,8,6,257.57,2nd Innings,not_out
T207014,MI Vs PBKS,MI,1,Ryan Rickelton,27,20,5,0,135.00,1st Innings,out
T207014,MI Vs PBKS,MI,2,Rohit Sharma,24,21,2,1,114.28,1st Innings,out
T207014,MI Vs PBKS,MI,3,Suryakumar Yadav,57,39,6,2,146.15,1st Innings,out
T207014,MI Vs PBKS,MI,4,Tilak Varma,1,4,0,0,25.00,1st Innings,out
T207014,MI Vs PBKS,MI,5,Will Jacks,17,8,2,1,212.50,1st Innings,out
T207014,MI Vs PBKS,MI,6,Hardik Pandya,26,15,2,2,173.33,1st Innings,out
