matchID,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls,Innings
T204306,PBKS Vs RCB,RCB,Bhuvneshwar Kumar,2,0,17,1,8.50,5,3,0,0,0,1st Innings
T204306,PBKS Vs RCB,RCB,Yash Dayal,4,0,26,2,6.50,11,1,1,0,1,1st Innings
T204306,PBKS Vs RCB,RCB,Josh Hazlewood,3.1,0,21,3,6.63,10,2,1,0,0,1st Innings
T204306,PBKS Vs RCB,RCB,Suyash Sharma,3,0,17,3,5.66,11,0,1,1,0,1st Innings
T204306,PBKS Vs RCB,RCB,Krunal Pandya,1,0,10,0,10.00,2,0,1,0,0,1st Innings
T204306,PBKS Vs RCB,RCB,Romario Shepherd,1,0,5,1,5.00,4,1,0,0,0,1st Innings
T204306,PBKS Vs RCB,PBKS,Arshdeep Singh,2,0,20,0,10.00,3,2,1,0,0,2nd Innings
T204306,PBKS Vs RCB,PBKS,Kyle Jamieson,3,1,27,1,9.00,9,4,1,0,0,2nd Innings
T204306,PBKS Vs RCB,PBKS,Azmatullah Omarzai,1,0,10,0,10.00,3,2,0,0,0,2nd Innings
T204306,PBKS Vs RCB,PBKS,Harpreet Brar,2,0,18,0,9.00,2,1,1,0,0,2nd Innings
T204306,PBKS Vs RCB,PBKS,Musheer Khan,2,0,27,1,13.50,1,2,2,0,0,2nd Innings
T207920,LSG Vs RCB,RCB,Nuwan Thushara,4,0,26,1,6.50,10,3,0,1,1,1st Innings
T207920,LSG Vs RCB,RCB,Krunal Pandya,2,0,14,0,7.00,5,0,1,1,0,1st Innings
T207920,LSG Vs RCB,RCB,Yash Dayal,3,0,44,0,14.66,3,5,2,1,0,1st Innings
T207920,LSG Vs RCB,RCB,Bhuvneshwar Kumar,4,0,46,1,11.50,8,4,3,1,0,1st Innings
T207920,LSG Vs RCB,RCB,Suyash Sharma,3,0,39,0,13.00,4,3,3,0,0,1st Innings
T207920,LSG Vs RCB,RCB,Romario Shepherd,4,0,51,1,12.75,6,2,5,2,0,1st Innings
T207920,LSG Vs RCB,LSG,Akash Singh,4,0,40,1,10.00,6,7,0,0,0,2nd Innings
T207920,LSG Vs RCB,LSG,Will O’Rourke,4,0,74,2,18.50,3,9,4,2,0,2nd Innings
T207920,LSG Vs RCB,LSG,Digvesh Rathi,4,0,36,0,9.00,5,3,1,0,1,2nd Innings
